"X","fov","volume","center_x","center_y"
40963,1702,573.739727423368,10034.1170102171,8006.9685367516
40966,1702,831.405086995846,10041.8013850142,8014.75835522012
40969,1702,1462.68552633927,10001.3002228867,8023.94993372831
40970,1702,639.123903095563,10037.5358796493,8021.75584574725
40973,1702,742.026787938429,10048.3617066137,8026.49202864312
40976,1702,462.730198653642,10011.1021340167,8027.32662883087
40978,1702,848.209440268087,10042.7279021178,8031.36852669314
40981,1702,1863.71774013934,10045.325131173,8043.30542800943
40986,1702,764.478314781333,10020.085770119,8052.14427223613
40989,1702,1262.57309560652,10011.3029163914,8064.75120004819
40994,1702,921.363955019799,10021.1054822638,8069.76992681705
40996,1702,1166.66837900198,10047.8438212659,8070.89409080962
41001,1702,231.231118727803,10049.7206275108,8076.9709313245
41004,1702,553.33140544425,10050.3111824127,8084.19078690389
41006,1702,1071.64970831508,10011.1252717779,8087.69679377208
41009,1702,912.866281657854,10047.0733183532,8096.60022751675
41012,1702,431.563739172483,10016.7688807788,8099.90163037959
41014,1702,437.639868552633,10023.1866118386,8104.55854222299
41022,1702,419.032347916043,10020.1953969008,8122.60226211847
41024,1702,746.335556982692,10000.1739719684,8132.91009148893
41025,1702,481.466711481342,10014.5844905168,8129.23050798943
41028,1702,935.669920454055,10007.769513686,8136.52014407046
41030,1702,504.586955262987,10025.9531436294,8135.63024722502
41034,1702,318.74350122657,10022.7856617103,8139.19213647871
41035,1702,610.798806874265,10003.4101371535,8145.59597969687
41107,1702,522.216371066142,10039.9750910827,8008.63149726568
41109,1702,446.925430990542,10009.7277138403,8012.6635313356
41110,1702,296.728989955345,10015.2725136466,8013.59612405002
41111,1702,105.161089037694,10051.723938529,8012.01478489751
41112,1702,545.240567100118,10023.1670922517,8016.59835629723
41114,1702,324.655124363618,10016.2011152882,8020.20682292635
41115,1702,382.816911303841,10045.6858339454,8020.91315984822
41117,1702,500.22891502217,10030.9149958042,8032.84451767498
41118,1702,818.193882873704,10000.3760705239,8037.9918078365
41119,1702,701.691393364212,10044.3165007803,8051.90945618855
41120,1702,1533.30159955496,10048.7054680535,8059.95735123186
41121,1702,353.934818045108,10040.6436299952,8076.92245404613
41122,1702,763.450963062713,10044.9232121338,8085.45222152958
41124,1702,703.12147815791,10036.7717105396,8092.47809876871
41125,1702,246.424255895121,10042.7703154967,8090.76808773943
41126,1702,628.975551665748,10033.4615648576,8096.53511010396
41127,1702,605.814763203484,10026.688792212,8099.66466214547
41130,1702,872.620799126162,10013.1067194742,8106.3895389568
41131,1702,399.833579215569,10031.8889200411,8104.80873655495
41132,1702,541.178874762812,10011.6629556734,8112.52430480362
41133,1702,128.767366821717,10005.2301801711,8113.83163366264
41135,1702,778.019218033412,10010.5332383731,8121.91957311307
41136,1702,559.840776039203,10027.0841044814,8122.35797447372
41138,1702,278.945658992298,10022.0518340947,8131.87547694597
41139,1702,438.233765771922,10018.1263296529,8139.88825958632
54174,1702,618.240909746996,10015.4035487516,8142.60341749338
54180,1702,635.600277738441,10019.0598912452,8182.70808043801
54505,1702,371.635471236928,10022.7861539146,8153.08419046417
54506,1702,503.112141940032,10012.8278245164,8155.89021296795
54257,1752,247.706717227845,10092.60617572,8364.47767067365
54258,1752,936.436805794661,10086.0071904584,8366.18382471205
