"X","fov","volume","center_x","center_y"
88869,1609,245.79419317214,12501.3060081969,10052.7792821054
15589,1715,424.301051748758,12512.69579437,10251.2253139026
15590,1715,215.521304951481,12539.5453294961,10251.985100556
15591,1715,195.524834017149,12544.7675853095,10253.2355043416
15592,1715,351.30799572336,12548.7949910383,10252.7931606143
15593,1715,403.297721892134,12501.5684883707,10451.4840291589
15594,1716,158.616633467021,12503.434188303,10464.2057763642
15595,1716,669.499012518387,12509.4173475071,10625.1933166804
